,City,Legal Status,Legal Status Code,Population,Violent Crime per Capita,Rape per Capita,Robbery per Capita,Aggravated Assault per Capita,Property Crime Total per Capita,Burglary per Capita,Larceny-Theft per Capita,Motor Vehicle Theft per Capita
2088,Ottumwa,Illegal,1.0,24293.0,0.00946774791092084,0.0006997900629811056,0.0004939694562219569,0.00827398839171778,0.03906475116288643,0.007574198328736673,0.02766228954842959,0.0038282632857201664
2089,Pella2,Illegal,1.0,10225.0,0.0026405867970660146,0.00117359413202934,0.0,0.00136919315403423,,0.0009779951100244498,,0.000684596577017115
2090,Perry,Illegal,1.0,7669.0,0.0022167166514539052,0.00039118529143304214,0.0,0.0018255313600208632,0.01395227539444517,0.002738297040031295,0.0099100273829704,0.0013039509714434737
2091,Pleasant Hill,Illegal,1.0,10158.0,0.000689112029927151,0.0,0.00019688915140775743,0.00039377830281551486,0.019492025989367986,0.00383933845245127,0.012896239417208112,0.002756448119708604
2092,Polk City,Illegal,1.0,5165.0,0.0005808325266214908,0.0001936108422071636,0.0,0.0003872216844143272,0.0050338818973862534,0.0007744433688286545,0.003872216844143272,0.0003872216844143272
2093,Postville,Illegal,1.0,2034.0,0.0024582104228121925,0.0,0.0004916420845624386,0.0019665683382497543,0.017699115044247787,0.0029498525073746312,0.011799410029498525,0.0029498525073746312
2094,Red Oak,Illegal,1.0,5230.0,0.0026768642447418736,0.0005736137667304016,0.0,0.002103250478011472,0.015487571701720841,0.00401529636711281,0.009751434034416827,0.0017208413001912047
2095,Rock Valley,Illegal,1.0,3899.0,0.0007694280584765325,0.0,0.0,0.0007694280584765325,0.0005129520389843549,0.00025647601949217746,0.00025647601949217746,0.0
2096,Sergeant Bluff,Illegal,1.0,5226.0,0.0019135093761959434,0.0,0.0,0.0019135093761959434,0.004783773440489858,0.0007654037504783774,0.004018369690011481,0.0
2097,Sheldon,Illegal,1.0,5069.0,0.004931939238508582,0.0005918327086210298,0.0,0.004340106529887552,0.009469323337936477,0.003156441112645492,0.0039455513908068654,0.0023673308344841193
2098,Shenandoah,Illegal,1.0,4786.0,0.0025073129962390303,0.0002089427496865859,0.0,0.002298370246552445,0.006686167989970748,0.0018804847471792729,0.0037609694943585457,0.0010447137484329294
2099,Sioux Center,Illegal,1.0,7669.0,0.00039118529143304214,0.00013039509714434736,0.0,0.0002607901942886947,0.0022167166514539052,0.0,0.0019559264571652104,0.0002607901942886947
2100,Sioux City,Illegal,1.0,82628.0,0.005772861499733746,0.0007382485356053638,0.0009076826257442997,0.004018008423294767,0.03245873069661616,0.005797066369753594,0.023394006874183085,0.003267657452679479
2101,Spencer2,Illegal,1.0,10922.0,0.0015564914850759934,0.0012818165171214063,0.00018311664530305805,9.155832265152902e-05,,,0.013733748397729353,0.0017396081303790514
2102,Spirit Lake,Illegal,1.0,5189.0,0.003661591828868761,0.0005781460782424359,0.0,0.0030834457506263247,0.01599537483137406,0.0034688764694546155,0.011370206205434573,0.0011562921564848719
2103,Storm Lake,Illegal,1.0,10282.0,0.003890293717175647,0.0006808014005057381,9.725734292939116e-05,0.0031122349737405172,0.015269402839914414,0.002236918887375997,0.012059910523244505,0.0009725734292939117
2104,Story City,Illegal,1.0,3307.0,0.0012095554883580285,0.0,0.0,0.0012095554883580285,0.01572422134865437,0.003931055337163592,0.009978832778953735,0.0018143332325370426
2105,Tama,Illegal,1.0,2717.0,0.008833271991166729,0.000368052999631947,0.0,0.008465218991534781,0.008097165991902834,0.00368052999631947,0.00368052999631947,0.000736105999263894
2106,Tipton,Illegal,1.0,3224.0,0.0012406947890818859,0.00031017369727047146,0.0,0.0009305210918114144,0.004342431761786601,0.0015508684863523574,0.002791563275434243,0.0
2107,Toledo,Illegal,1.0,2123.0,0.006123410268487989,0.0,0.0,0.006123410268487989,0.008478568064060292,0.004239284032030146,0.0037682524729156855,0.0004710315591144607
2108,Urbandale,Illegal,1.0,44959.0,0.0010453969171912187,0.0001779399007985053,0.00011121243799906581,0.0007340020907938343,0.010187059320714429,0.0014012767187882294,0.007473475833537223,0.0013123067683889766
2109,Vinton,Illegal,1.0,5056.0,0.0011867088607594937,0.00019778481012658228,0.0,0.0009889240506329115,0.0031645569620253164,0.0005933544303797469,0.0025712025316455694,0.0
2110,Washington,Illegal,1.0,7227.0,0.0060882800608828,0.0016604400166044002,0.0001383700013837,0.0042894700428947,0.021447350214473502,0.0038743600387436,0.016050920160509203,0.0015220700152207
